"REF_DATE","GEO","DGUID","Level of study","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","College","Number of graduates","Number","223","units ","0","v88836884","1.1.1","30700","","","","0"
"2000","Canada","2016A000011124","College","Average debt owed at graduation","Dollars","81","units ","0","v88836885","1.1.2","12500","","","","0"
"2000","Canada","2016A000011124","College","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units ","0","v88836886","1.1.3","12","","","","0"
"2000","Canada","2016A000011124","College","Average debt owed at time of interview","Dollars","81","units ","0","v88836887","1.1.4","8500","","","","0"
"2000","Canada","2016A000011124","College","Percentage of graduates with large debt at time of interview ($25,000 and over)","Percent","239","units ","0","v88836888","1.1.5","6","","","","0"
"2000","Canada","2016A000011124","College","Percentage of debt paid off at time of interview","Percent","239","units ","0","v88836889","1.1.6","33","","","","0"
"2000","Canada","2016A000011124","College","Employed at time of interview ","Percent","239","units ","0","v88836890","1.1.7","89","","","","0"
"2000","Canada","2016A000011124","College","Without personal income in the year prior to interview","Percent","239","units ","0","v88836891","1.1.8","1","E","","","0"
"2000","Canada","2016A000011124","College","Average personal income in the year prior to interview","Dollars","81","units ","0","v88836892","1.1.9","26800","","","","0"
"2000","Canada","2016A000011124","College","Average age at graduation","Years","308","units ","0","v88836893","1.1.10","26","","","","0"
"2000","Canada","2016A000011124","College","Median age at graduation","Years","308","units ","0","v88836894","1.1.11","24","","","","0"
"2000","Canada","2016A000011124","College","Married or living common law","Percent","239","units ","0","v88836895","1.1.12","37","","","","0"
"2000","Canada","2016A000011124","College","With dependent children","Percent","239","units ","0","v88836896","1.1.13","27","","","","0"
"2000","Canada","2016A000011124","College","With previous postsecondary education","Percent","239","units ","0","v88836897","1.1.14","39","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Number of graduates","Number","223","units ","0","v88836898","1.2.1","34600","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Average debt owed at graduation","Dollars","81","units ","0","v88836899","1.2.2","19600","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units ","0","v88836900","1.2.3","32","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Average debt owed at time of interview","Dollars","81","units ","0","v88836901","1.2.4","12800","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Percentage of graduates with large debt at time of interview ($25,000 and over)","Percent","239","units ","0","v88836902","1.2.5","23","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Percentage of debt paid off at time of interview","Percent","239","units ","0","v88836903","1.2.6","34","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Employed at time of interview ","Percent","239","units ","0","v88836904","1.2.7","90","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Without personal income in the year prior to interview","Percent","239","units ","0","v88836905","1.2.8","1","E","","","0"
"2000","Canada","2016A000011124","Bachelor's","Average personal income in the year prior to interview","Dollars","81","units ","0","v88836906","1.2.9","33100","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Average age at graduation","Years","308","units ","0","v88836907","1.2.10","26","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Median age at graduation","Years","308","units ","0","v88836908","1.2.11","24","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Married or living common law","Percent","239","units ","0","v88836909","1.2.12","38","","","","0"
"2000","Canada","2016A000011124","Bachelor's","With dependent children","Percent","239","units ","0","v88836910","1.2.13","17","","","","0"
"2000","Canada","2016A000011124","Bachelor's","With previous postsecondary education","Percent","239","units ","0","v88836911","1.2.14","57","","","","0"
"2000","Canada","2016A000011124","Master's","Number of graduates","Number","223","units ","0","v88836912","1.3.1","7800","","","","0"
"2000","Canada","2016A000011124","Master's","Average debt owed at graduation","Dollars","81","units ","0","v88836913","1.3.2","18300","","","","0"
"2000","Canada","2016A000011124","Master's","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units ","0","v88836914","1.3.3","26","","","","0"
"2000","Canada","2016A000011124","Master's","Average debt owed at time of interview","Dollars","81","units ","0","v88836915","1.3.4","11700","","","","0"
"2000","Canada","2016A000011124","Master's","Percentage of graduates with large debt at time of interview ($25,000 and over)","Percent","239","units ","0","v88836916","1.3.5","21","","","","0"
"2000","Canada","2016A000011124","Master's","Percentage of debt paid off at time of interview","Percent","239","units ","0","v88836917","1.3.6","35","","","","0"
"2000","Canada","2016A000011124","Master's","Employed at time of interview ","Percent","239","units ","0","v88836918","1.3.7","90","","","","0"
"2000","Canada","2016A000011124","Master's","Without personal income in the year prior to interview","Percent","239","units ","0","v88836919","1.3.8","","F","","","0"
"2000","Canada","2016A000011124","Master's","Average personal income in the year prior to interview","Dollars","81","units ","0","v88836920","1.3.9","41500","","","","0"
"2000","Canada","2016A000011124","Master's","Average age at graduation","Years","308","units ","0","v88836921","1.3.10","29","","","","0"
"2000","Canada","2016A000011124","Master's","Median age at graduation","Years","308","units ","0","v88836922","1.3.11","27","","","","0"
"2000","Canada","2016A000011124","Master's","Married or living common law","Percent","239","units ","0","v88836923","1.3.12","51","","","","0"
"2000","Canada","2016A000011124","Master's","With dependent children","Percent","239","units ","0","v88836924","1.3.13","23","","","","0"
"2000","Canada","2016A000011124","Master's","With previous postsecondary education","Percent","239","units ","0","v88836925","1.3.14","95","","","","0"
"2000","Canada","2016A000011124","Doctorate","Number of graduates","Number","223","units ","0","v88836926","1.4.1","1300","","","","0"
"2000","Canada","2016A000011124","Doctorate","Average debt owed at graduation","Dollars","81","units ","0","v88836927","1.4.2","19100","","","","0"
"2000","Canada","2016A000011124","Doctorate","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units ","0","v88836928","1.4.3","28","","","","0"
"2000","Canada","2016A000011124","Doctorate","Average debt owed at time of interview","Dollars","81","units ","0","v88836929","1.4.4","12000","","","","0"
"2000","Canada","2016A000011124","Doctorate","Percentage of graduates with large debt at time of interview ($25,000 and over)","Percent","239","units ","0","v88836930","1.4.5","23","","","","0"
"2000","Canada","2016A000011124","Doctorate","Percentage of debt paid off at time of interview","Percent","239","units ","0","v88836931","1.4.6","37","","","","0"
"2000","Canada","2016A000011124","Doctorate","Employed at time of interview ","Percent","239","units ","0","v88836932","1.4.7","91","","","","0"
"2000","Canada","2016A000011124","Doctorate","Without personal income in the year prior to interview","Percent","239","units ","0","v88836933","1.4.8","1","E","","","0"
"2000","Canada","2016A000011124","Doctorate","Average personal income in the year prior to interview","Dollars","81","units ","0","v88836934","1.4.9","57500","","","","0"
"2000","Canada","2016A000011124","Doctorate","Average age at graduation","Years","308","units ","0","v88836935","1.4.10","33","","","","0"
"2000","Canada","2016A000011124","Doctorate","Median age at graduation","Years","308","units ","0","v88836936","1.4.11","32","","","","0"
"2000","Canada","2016A000011124","Doctorate","Married or living common law","Percent","239","units ","0","v88836937","1.4.12","69","","","","0"
"2000","Canada","2016A000011124","Doctorate","With dependent children","Percent","239","units ","0","v88836938","1.4.13","44","","","","0"
"2000","Canada","2016A000011124","Doctorate","With previous postsecondary education","Percent","239","units ","0","v88836939","1.4.14","99","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Number of graduates","Number","223","units ","0","v88836940","2.1.1","600","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Average debt owed at graduation","Dollars","81","units ","0","v88836941","2.1.2","13900","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units ","0","v88836942","2.1.3","13","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Average debt owed at time of interview","Dollars","81","units ","0","v88836943","2.1.4","12200","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Percentage of graduates with large debt at time of interview ($25,000 and over)","Percent","239","units ","0","v88836944","2.1.5","11","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Percentage of debt paid off at time of interview","Percent","239","units ","0","v88836945","2.1.6","17","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Employed at time of interview ","Percent","239","units ","0","v88836946","2.1.7","79","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Without personal income in the year prior to interview","Percent","239","units ","0","v88836947","2.1.8","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Average personal income in the year prior to interview","Dollars","81","units ","0","v88836948","2.1.9","20200","","","","0"
