Hour of the Day,22,24,31,32,33,34,35,62,66,89
0,3%,2%,4%,2%,5%,4%,2%,2%,3%,4%
1,2%,2%,4%,2%,5%,3%,2%,2%,2%,3%
2,2%,1%,4%,2%,4%,2%,1%,1%,2%,3%
3,2%,1%,4%,2%,4%,2%,1%,2%,1%,3%
4,1%,1%,4%,1%,3%,2%,1%,1%,1%,2%
5,1%,1%,3%,1%,3%,1%,1%,1%,1%,2%
6,1%,1%,4%,2%,2%,2%,1%,2%,1%,2%
7,2%,2%,4%,3%,2%,2%,2%,4%,2%,3%
8,2%,3%,4%,4%,2%,3%,3%,5%,3%,4%
9,3%,4%,4%,6%,2%,4%,5%,5%,3%,4%
10,4%,4%,5%,7%,3%,4%,7%,5%,3%,5%
11,5%,5%,4%,7%,3%,5%,8%,4%,4%,5%
12,6%,6%,4%,7%,4%,5%,8%,5%,4%,5%
13,6%,5%,4%,7%,4%,5%,7%,5%,5%,5%
14,6%,5%,5%,7%,4%,5%,8%,5%,5%,5%
15,6%,5%,4%,6%,5%,5%,7%,6%,5%,5%
16,6%,6%,4%,6%,5%,5%,6%,7%,7%,5%
17,7%,7%,4%,5%,6%,6%,5%,7%,7%,5%
18,8%,8%,5%,5%,6%,6%,5%,8%,8%,5%
19,8%,9%,4%,5%,6%,6%,5%,6%,8%,5%
20,7%,8%,4%,4%,6%,6%,4%,5%,7%,5%
21,6%,6%,4%,4%,6%,6%,4%,4%,6%,5%
22,5%,5%,4%,3%,6%,6%,3%,4%,5%,5%
23,3%,3%,4%,3%,5%,5%,3%,3%,4%,4%
