FIRE_STATION,LATITUDE_STATION,LONGITUDE_STATION,TOTAL COUNT,CAD_CALL_TYPE_CBRN & Hazardous Materials,CAD_CALL_TYPE_Carbon Monoxide,CAD_CALL_TYPE_Emergency Fire,CAD_CALL_TYPE_Medical,CAD_CALL_TYPE_Non Emergency,CAD_CALL_TYPE_Other Emergency Events,CAD_CALL_TYPE_Technical Rescue,CAD_CALL_TYPE_Vehicle Incident
314.0,43.6630660028,-79.3846650001,24306,83.0,101.0,8785.0,13794.0,21.0,512.0,740.0,270.0
332.0,43.6483151193,-79.3895674204,22645,84.0,157.0,8271.0,12131.0,25.0,714.0,724.0,539.0
426.0,43.6450950212,-79.4388699574,22623,119.0,674.0,5952.0,13621.0,47.0,719.0,705.0,786.0
325.0,43.6593791161,-79.364857432,21805,118.0,349.0,8050.0,11586.0,22.0,532.0,832.0,316.0
313.0,43.672095051999996,-79.37556405699999,18184,90.0,345.0,5806.0,9946.0,46.0,452.0,915.0,584.0
142.0,43.7459912998,-79.51437393100001,15072,80.0,552.0,3541.0,9148.0,36.0,358.0,705.0,652.0
114.0,43.7726444542,-79.4153580234,14824,43.0,343.0,4446.0,8412.0,34.0,430.0,454.0,662.0
333.0,43.650529391400006,-79.3661571907,14580,102.0,128.0,5863.0,6967.0,43.0,449.0,441.0,587.0
132.0,43.71980673979999,-79.428575122,13631,75.0,783.0,3310.0,7591.0,45.0,500.0,157.0,1170.0
413.0,43.7402272903,-79.5869091571,13097,37.0,500.0,3229.0,7852.0,41.0,251.0,609.0,578.0
442.0,43.7005987,-79.512384416,12856,45.0,386.0,3425.0,7293.0,29.0,309.0,687.0,682.0
231.0,43.7646526207,-79.2277908588,12737,48.0,496.0,2804.0,7894.0,31.0,329.0,525.0,610.0
315.0,43.656833173100004,-79.4047849657,12413,86.0,452.0,3210.0,7776.0,30.0,401.0,177.0,281.0
312.0,43.6718834472,-79.3889236119,12394,56.0,154.0,4780.0,6360.0,21.0,361.0,448.0,214.0
331.0,43.6473447005,-79.4097769908,12352,78.0,455.0,3847.0,6975.0,28.0,451.0,287.0,231.0
344.0,43.6729708157,-79.4118273794,12082,92.0,449.0,3218.0,7290.0,28.0,425.0,324.0,256.0
134.0,43.7096653477,-79.3997715519,11565,74.0,429.0,3408.0,6598.0,30.0,449.0,339.0,238.0
322.0,43.6909947493,-79.34234693810001,11461,56.0,310.0,2683.0,6674.0,39.0,331.0,806.0,562.0
234.0,43.761076772399996,-79.1915252089,11415,50.0,394.0,3251.0,6640.0,29.0,286.0,487.0,278.0
112.0,43.776285518,-79.444286046,11392,48.0,279.0,2259.0,7721.0,41.0,229.0,444.0,371.0
225.0,43.6959254713,-79.2684978087,11374,56.0,413.0,2522.0,7453.0,30.0,282.0,317.0,301.0
443.0,43.678079598900005,-79.5385569302,11190,42.0,500.0,2436.0,7175.0,36.0,273.0,291.0,437.0
226.0,43.681931933,-79.2990684783,11025,60.0,458.0,2913.0,6793.0,28.0,294.0,264.0,215.0
141.0,43.766821511,-79.492723591,10829,48.0,196.0,3879.0,5330.0,20.0,342.0,507.0,507.0
244.0,43.7816911043,-79.2991185391,10771,34.0,279.0,2836.0,5925.0,24.0,275.0,341.0,1057.0
445.0,43.6493567555,-79.5451063707,10743,57.0,278.0,2383.0,6160.0,27.0,260.0,353.0,1225.0
311.0,43.6859593921,-79.3939790825,10689,68.0,478.0,3624.0,5509.0,20.0,389.0,370.0,231.0
421.0,43.6843089779,-79.48530489630002,10663,68.0,344.0,2726.0,6406.0,22.0,273.0,433.0,391.0
433.0,43.628027111899996,-79.5029414344,10581,67.0,398.0,2610.0,5993.0,27.0,373.0,246.0,867.0
222.0,43.7204080292,-79.2840938337,10289,47.0,297.0,2273.0,6683.0,17.0,299.0,240.0,433.0
441.0,43.6949690459,-79.571922949,10156,26.0,180.0,3308.0,4224.0,17.0,266.0,485.0,1650.0
341.0,43.69452889340001,-79.4411438509,10082,74.0,577.0,1908.0,6735.0,34.0,292.0,203.0,259.0
223.0,43.723965363199994,-79.2332642694,9877,45.0,374.0,2434.0,6194.0,21.0,243.0,286.0,280.0
345.0,43.667401126,-79.438152677,9852,78.0,550.0,2285.0,6172.0,25.0,316.0,159.0,267.0
146.0,43.723581448000004,-79.5097793738,9369,36.0,203.0,2641.0,4538.0,20.0,222.0,650.0,1059.0
334.0,43.63769030899999,-79.38861301899999,9261,51.0,65.0,3529.0,4203.0,14.0,294.0,406.0,699.0
232.0,43.7549755504,-79.2668542752,9177,44.0,305.0,1752.0,6084.0,20.0,244.0,206.0,522.0
323.0,43.679551480600004,-79.3346653338,9059,81.0,545.0,1775.0,6121.0,27.0,285.0,81.0,144.0
423.0,43.6647503601,-79.4647572222,8986,78.0,371.0,2263.0,5403.0,30.0,296.0,217.0,328.0
113.0,43.793186542600004,-79.350836236,8778,31.0,291.0,2163.0,5100.0,19.0,198.0,126.0,850.0
235.0,43.724253416,-79.314934419,8742,36.0,182.0,1718.0,5819.0,23.0,177.0,177.0,610.0
213.0,43.795415221800006,-79.2259650983,8730,26.0,357.0,1964.0,4954.0,22.0,228.0,176.0,1003.0
411.0,43.75525826,-79.549165437,8461,36.0,333.0,1977.0,4643.0,19.0,235.0,161.0,1057.0
145.0,43.7347641022,-79.4600354748,8427,42.0,231.0,1886.0,4562.0,18.0,291.0,142.0,1255.0
224.0,43.695196054600004,-79.31660023100001,8210,64.0,453.0,1864.0,5222.0,15.0,231.0,170.0,191.0
233.0,43.744112081800004,-79.3145233619,7995,28.0,249.0,1420.0,5323.0,19.0,189.0,215.0,552.0
143.0,43.75066274,-79.4597300587,7915,37.0,372.0,1670.0,4903.0,18.0,243.0,162.0,510.0
133.0,43.7071934405,-79.4821881501,7898,32.0,209.0,1683.0,5009.0,22.0,176.0,265.0,502.0
435.0,43.60112708810001,-79.50697326689999,7651,44.0,230.0,2281.0,4321.0,15.0,233.0,106.0,421.0
245.0,43.7627004282,-79.29152162310001,7604,19.0,201.0,1367.0,4607.0,16.0,206.0,110.0,1078.0
343.0,43.68011373229999,-79.4307554141,7577,46.0,346.0,1618.0,5055.0,18.0,224.0,132.0,138.0
242.0,43.806919641,-79.277256278,7430,14.0,283.0,1385.0,4748.0,26.0,223.0,76.0,675.0
324.0,43.66776668,-79.34351818399999,7260,63.0,341.0,1644.0,4702.0,9.0,264.0,97.0,140.0
115.0,43.774412158000004,-79.3406893014,7255,46.0,151.0,1884.0,3609.0,15.0,215.0,401.0,934.0
415.0,43.717885797799994,-79.57038007119998,7129,33.0,273.0,1586.0,4025.0,25.0,221.0,177.0,789.0
111.0,43.7901356097,-79.39365912529999,6560,22.0,224.0,1054.0,4687.0,18.0,176.0,65.0,314.0
243.0,43.7891455271,-79.2629634069,6477,19.0,113.0,2011.0,3296.0,7.0,231.0,129.0,671.0
221.0,43.7347987486,-79.2550659034,6410,28.0,173.0,1403.0,3977.0,19.0,161.0,369.0,280.0
116.0,43.769154550399996,-79.3650668886,6247,29.0,174.0,1555.0,2804.0,11.0,179.0,241.0,1254.0
135.0,43.703133045600005,-79.41879736989999,6177,52.0,533.0,2132.0,2830.0,27.0,270.0,119.0,214.0
241.0,43.81405059380001,-79.3238057728,6174,19.0,187.0,1467.0,3756.0,17.0,141.0,109.0,478.0
444.0,43.657475312399995,-79.5826992849,6002,27.0,197.0,1215.0,3623.0,12.0,139.0,88.0,701.0
123.0,43.745822610299996,-79.3467292588,5948,15.0,199.0,1426.0,3481.0,11.0,169.0,112.0,535.0
121.0,43.748548679399995,-79.4067839985,5753,21.0,345.0,1674.0,2698.0,24.0,215.0,85.0,691.0
432.0,43.62334958140001,-79.54935698119998,5688,21.0,101.0,1575.0,2957.0,15.0,216.0,115.0,688.0
131.0,43.7262256032,-79.4021605344,5498,25.0,426.0,2064.0,2509.0,13.0,220.0,89.0,152.0
431.0,43.6464446428,-79.50485031560001,5372,24.0,298.0,1337.0,3346.0,11.0,157.0,54.0,145.0
342.0,43.67937471800001,-79.4486295198,5314,29.0,328.0,820.0,3703.0,16.0,175.0,16.0,227.0
422.0,43.6644107662,-79.4909444351,5269,39.0,285.0,1105.0,3323.0,13.0,166.0,155.0,183.0
227.0,43.6691715946,-79.3050414066,5268,44.0,449.0,1257.0,3079.0,21.0,224.0,33.0,161.0
412.0,43.7381168791,-79.617641121,5219,14.0,97.0,1583.0,2439.0,6.0,145.0,145.0,790.0
212.0,43.8049408598,-79.1886231884,5179,29.0,346.0,923.0,3217.0,12.0,120.0,66.0,466.0
214.0,43.7942193852,-79.1636047829,4805,27.0,204.0,989.0,2705.0,9.0,115.0,42.0,714.0
125.0,43.721144386899994,-79.34911542100001,4683,35.0,129.0,1410.0,2571.0,3.0,138.0,219.0,178.0
326.0,43.661547345500004,-79.3250105037,4574,54.0,201.0,1196.0,2617.0,15.0,189.0,41.0,261.0
321.0,43.7087184524,-79.3648546297,4560,38.0,307.0,1414.0,2298.0,7.0,216.0,39.0,241.0
425.0,43.6479956037,-79.47806209560001,4330,34.0,228.0,1009.0,2354.0,9.0,156.0,80.0,460.0
122.0,43.748653215699996,-79.38372919609999,4256,14.0,274.0,1283.0,1900.0,18.0,178.0,63.0,526.0
434.0,43.602578898800004,-79.5439922168,4153,18.0,164.0,859.0,2519.0,7.0,112.0,56.0,418.0
215.0,43.777400553,-79.148069062,3603,26.0,323.0,596.0,2426.0,16.0,117.0,6.0,93.0
211.0,43.82400134220001,-79.2428732386,3554,14.0,233.0,856.0,1892.0,16.0,160.0,18.0,365.0
424.0,43.6583631322,-79.4796326644,1651,13.0,99.0,283.0,1174.0,0.0,52.0,9.0,21.0
346.0,43.633676978000004,-79.421329721,850,1.0,1.0,307.0,476.0,0.0,23.0,25.0,17.0
335.0,43.625400746000004,-79.359074505,798,10.0,10.0,107.0,648.0,2.0,15.0,6.0,0.0
