LATITUDE,LONGITUDE,TOTAL COUNT,CAD_CALL_TYPE_CBRN & Hazardous Materials,CAD_CALL_TYPE_Carbon Monoxide,CAD_CALL_TYPE_Emergency Fire,CAD_CALL_TYPE_Medical,CAD_CALL_TYPE_Non Emergency,CAD_CALL_TYPE_Other Emergency Events,CAD_CALL_TYPE_Technical Rescue,CAD_CALL_TYPE_Vehicle Incident
43.658294696000006,-79.371032074,2405,17.0,14.0,1435.0,770.0,7.0,79.0,66.0,17.0
43.65616273,-79.370122585,2298,15.0,18.0,1266.0,749.0,3.0,73.0,166.0,8.0
43.667295336,-79.37377790799998,1977,42.0,7.0,868.0,694.0,12.0,94.0,255.0,5.0
43.746814212,-79.583807272,1769,10.0,8.0,629.0,847.0,6.0,75.0,182.0,12.0
43.712045649,-79.281003255,1560,7.0,1.0,274.0,1190.0,5.0,28.0,19.0,36.0
43.670226387,-79.386788062,1424,16.0,0.0,455.0,843.0,4.0,33.0,57.0,16.0
43.64677343899999,-79.53055375699999,1407,22.0,6.0,518.0,701.0,8.0,71.0,76.0,5.0
43.781637683,-79.416001694,1405,13.0,1.0,368.0,898.0,1.0,45.0,41.0,38.0
43.645987057,-79.379134973,1401,11.0,4.0,413.0,900.0,0.0,28.0,30.0,15.0
43.660654071,-79.37485096,1378,6.0,2.0,75.0,1270.0,1.0,19.0,4.0,1.0
43.70747321,-79.343625497,1374,9.0,1.0,472.0,639.0,9.0,60.0,159.0,25.0
43.729634275,-79.432161006,1316,0.0,0.0,196.0,1086.0,2.0,8.0,13.0,11.0
43.656328776,-79.38092640899998,1286,5.0,0.0,259.0,965.0,3.0,20.0,26.0,8.0
43.703211966000005,-79.346628658,1247,7.0,4.0,308.0,711.0,8.0,46.0,159.0,4.0
43.659095965,-79.382117852,1229,8.0,1.0,494.0,643.0,2.0,43.0,30.0,8.0
43.695796323,-79.55215649999998,1162,11.0,1.0,344.0,618.0,6.0,56.0,116.0,10.0
43.706731991000005,-79.39836649599998,1152,8.0,2.0,325.0,721.0,4.0,43.0,35.0,14.0
43.66709450800001,-79.374683918,1146,9.0,2.0,294.0,775.0,5.0,38.0,17.0,6.0
43.727389988,-79.252630248,1113,21.0,31.0,337.0,530.0,0.0,100.0,87.0,7.0
43.77954462899999,-79.232979097,1111,9.0,6.0,504.0,429.0,2.0,42.0,91.0,28.0
43.719156633999994,-79.603459797,1071,10.0,0.0,446.0,476.0,2.0,39.0,54.0,44.0
43.715456446000005,-79.507224907,1050,9.0,11.0,407.0,302.0,0.0,55.0,228.0,38.0
43.720975955,-79.37893916599998,1049,8.0,0.0,566.0,337.0,2.0,59.0,60.0,17.0
43.640842109,-79.435413744,1034,3.0,4.0,479.0,482.0,0.0,43.0,22.0,1.0
43.665482528999995,-79.355452139,1033,1.0,1.0,49.0,972.0,1.0,5.0,2.0,2.0
43.662415534,-79.35868759,1020,8.0,15.0,518.0,356.0,1.0,43.0,75.0,4.0
43.697554362,-79.25678983899999,1015,9.0,5.0,506.0,412.0,4.0,44.0,28.0,7.0
43.782117211000006,-79.293462652,998,1.0,3.0,283.0,635.0,2.0,27.0,26.0,21.0
43.698713042,-79.33986776199998,977,4.0,2.0,191.0,466.0,2.0,40.0,238.0,34.0
43.76917382600001,-79.182836147,974,9.0,9.0,594.0,301.0,1.0,26.0,25.0,9.0
43.66672551,-79.44646140899998,962,11.0,6.0,493.0,347.0,5.0,48.0,33.0,19.0
43.724772382,-79.51042617,959,16.0,3.0,464.0,280.0,0.0,45.0,147.0,4.0
43.73277077,-79.26455432999998,954,7.0,1.0,227.0,658.0,1.0,11.0,45.0,4.0
43.661371813,-79.383110377,953,8.0,1.0,150.0,735.0,3.0,26.0,22.0,8.0
43.766150191,-79.196434734,952,8.0,6.0,318.0,430.0,3.0,51.0,121.0,15.0
43.762670541000006,-79.194987221,930,8.0,10.0,434.0,285.0,1.0,29.0,160.0,3.0
43.767929903,-79.18837001899999,917,6.0,6.0,423.0,416.0,1.0,32.0,26.0,7.0
43.641025959,-79.43451699,900,7.0,2.0,248.0,482.0,5.0,36.0,111.0,9.0
43.676338518,-79.570409377,890,6.0,19.0,629.0,134.0,0.0,19.0,81.0,2.0
43.656347946000004,-79.38896783299998,877,8.0,0.0,245.0,557.0,2.0,32.0,7.0,26.0
43.708287448,-79.24840423899998,876,2.0,1.0,226.0,614.0,3.0,12.0,17.0,1.0
43.687675373999994,-79.301598993,873,2.0,2.0,409.0,391.0,4.0,21.0,44.0,0.0
43.753619517,-79.587099698,866,4.0,0.0,349.0,275.0,4.0,27.0,194.0,13.0
43.768826661999995,-79.520404887,864,5.0,8.0,368.0,380.0,5.0,52.0,22.0,24.0
43.666285308,-79.378347046,858,10.0,5.0,285.0,463.0,1.0,33.0,38.0,23.0
43.726995698,-79.457653389,856,13.0,0.0,321.0,294.0,6.0,74.0,65.0,83.0
43.696998283,-79.28539951,851,14.0,9.0,261.0,410.0,5.0,49.0,97.0,6.0
43.752023754,-79.488173558,847,1.0,1.0,106.0,704.0,0.0,12.0,12.0,11.0
43.68948939,-79.505062822,843,6.0,1.0,145.0,638.0,3.0,29.0,17.0,4.0
43.665722546000005,-79.38095932599998,827,8.0,0.0,233.0,503.0,4.0,37.0,29.0,13.0
43.73634816,-79.581049273,823,6.0,9.0,310.0,401.0,9.0,60.0,26.0,2.0
43.654525299999996,-79.369459663,817,9.0,0.0,81.0,691.0,4.0,18.0,4.0,10.0
43.653729068000004,-79.37325453299998,814,1.0,0.0,445.0,331.0,1.0,13.0,9.0,14.0
43.673837053,-79.422383376,813,3.0,4.0,87.0,683.0,3.0,9.0,22.0,2.0
43.718360231999995,-79.331406395,804,10.0,16.0,207.0,485.0,1.0,36.0,42.0,7.0
43.700158196000004,-79.516201345,799,6.0,8.0,316.0,355.0,5.0,40.0,35.0,34.0
43.773568473999994,-79.344592086,790,5.0,5.0,336.0,290.0,4.0,35.0,110.0,5.0
43.641152538,-79.376841306,790,6.0,1.0,237.0,442.0,3.0,39.0,45.0,17.0
43.709583351999996,-79.398997427,787,9.0,9.0,257.0,409.0,8.0,64.0,21.0,10.0
43.654062801,-79.379973987,785,9.0,0.0,283.0,408.0,0.0,51.0,19.0,15.0
43.754283848,-79.251561119,770,4.0,1.0,121.0,600.0,3.0,21.0,11.0,9.0
43.647188293,-79.404010501,765,7.0,0.0,84.0,628.0,2.0,26.0,5.0,13.0
43.669656018999994,-79.37579010499998,763,15.0,1.0,240.0,345.0,5.0,43.0,113.0,1.0
43.722364166999995,-79.50897984699999,763,5.0,3.0,441.0,228.0,2.0,45.0,18.0,21.0
43.695129656000006,-79.303480729,761,14.0,4.0,254.0,380.0,3.0,46.0,52.0,8.0
43.755263457,-79.246758966,759,3.0,0.0,255.0,443.0,1.0,17.0,30.0,10.0
43.674374738999994,-79.399843109,754,18.0,5.0,325.0,236.0,4.0,30.0,130.0,6.0
43.657227649,-79.466850203,743,13.0,4.0,189.0,423.0,4.0,61.0,46.0,3.0
43.739980975,-79.227927937,742,11.0,5.0,455.0,223.0,3.0,32.0,13.0,0.0
43.701642158,-79.337148599,740,5.0,1.0,240.0,373.0,2.0,31.0,83.0,5.0
43.655715963999995,-79.383766191,740,3.0,0.0,281.0,404.0,1.0,21.0,12.0,18.0
43.664937283,-79.38459588499998,730,6.0,2.0,189.0,486.0,2.0,23.0,8.0,14.0
43.652917928,-79.376951836,722,4.0,0.0,502.0,142.0,0.0,21.0,45.0,8.0
43.609419438,-79.56027503199999,718,10.0,1.0,142.0,412.0,1.0,77.0,40.0,35.0
43.71016478600001,-79.45704342899998,714,2.0,1.0,71.0,634.0,0.0,5.0,1.0,0.0
43.657529566,-79.38948938299998,713,3.0,0.0,456.0,179.0,1.0,21.0,28.0,25.0
