FIRE_STATION,LATITUDE_STATION,LONGITUDE_STATION,TOTAL COUNT,FINAL_TYPE_22 - Pot on Stove (no fire),FINAL_TYPE_24 - Other Cooking/toasting/smoke/steam (No Fire),FINAL_TYPE_31 - Alarm Equipment - Malfunction,FINAL_TYPE_32 - Alarm System Equipment - Accidental activation (exc. code 35),"FINAL_TYPE_33 - Human - Malicious intent, prank",FINAL_TYPE_34 - Human - Perceived Emergency,FINAL_TYPE_35 - Human - Accidental (alarm accidentally activated by person),FINAL_TYPE_62 - Vehicle Collision,FINAL_TYPE_66 - Persons Trapped in Elevator,FINAL_TYPE_89 - Other Medical
314.0,43.6630660028,-79.3846650001,24306,387.0,708.0,2090.0,2901.0,1047.0,860.0,1390.0,311.0,715.0,13897.0
332.0,43.6483151193,-79.3895674204,22645,233.0,426.0,2300.0,2979.0,787.0,949.0,1382.0,620.0,689.0,12280.0
426.0,43.6450950212,-79.4388699574,22623,784.0,640.0,1041.0,1666.0,525.0,1257.0,806.0,918.0,678.0,14308.0
325.0,43.6593791161,-79.364857432,21805,604.0,459.0,1499.0,1980.0,2133.0,1026.0,1010.0,362.0,802.0,11930.0
313.0,43.672095051999996,-79.37556405699999,18184,439.0,499.0,996.0,1584.0,709.0,998.0,1082.0,664.0,898.0,10315.0
142.0,43.7459912998,-79.51437393100001,15072,539.0,215.0,768.0,780.0,681.0,503.0,394.0,784.0,696.0,9712.0
114.0,43.7726444542,-79.4153580234,14824,397.0,346.0,1563.0,1043.0,368.0,500.0,583.0,827.0,440.0,8757.0
333.0,43.650529391400006,-79.3661571907,14580,255.0,407.0,1549.0,2022.0,385.0,738.0,996.0,690.0,423.0,7115.0
132.0,43.71980673979999,-79.428575122,13631,424.0,454.0,698.0,974.0,150.0,702.0,395.0,1286.0,156.0,8392.0
413.0,43.7402272903,-79.5869091571,13097,438.0,345.0,733.0,713.0,467.0,322.0,371.0,734.0,606.0,8368.0
442.0,43.7005987,-79.512384416,12856,572.0,407.0,747.0,793.0,474.0,422.0,280.0,790.0,679.0,7692.0
231.0,43.7646526207,-79.2277908588,12737,317.0,259.0,633.0,583.0,523.0,431.0,310.0,775.0,505.0,8401.0
315.0,43.656833173100004,-79.4047849657,12413,224.0,213.0,862.0,950.0,267.0,698.0,480.0,316.0,170.0,8233.0
312.0,43.6718834472,-79.3889236119,12394,199.0,385.0,1052.0,1837.0,313.0,596.0,803.0,260.0,431.0,6518.0
331.0,43.6473447005,-79.4097769908,12352,304.0,288.0,1044.0,965.0,374.0,742.0,661.0,269.0,273.0,7432.0
344.0,43.6729708157,-79.4118273794,12082,209.0,420.0,705.0,1016.0,156.0,721.0,477.0,320.0,310.0,7748.0
134.0,43.7096653477,-79.3997715519,11565,284.0,294.0,678.0,1314.0,168.0,778.0,397.0,281.0,336.0,7035.0
