INDEX,NAME,ADDRESS,X,Y,LATITUDE,LONGITUDE,WARD_NAME,MUN_NAME,OBJECTID,geometry
214,FIRE STATION 214,745 MEADOWVALE RD,331855.873,4850304.607,43.7942193852,-79.1636047829,Scarborough East (44),Scarborough,1567567.0,POINT (-79.1636047829337 43.7942193852174)
215,FIRE STATION 215,5318 LAWRENCE AVE E,333114.022,4848441.177,43.777400553,-79.148069062,Scarborough East (44),Scarborough,2250005.0,POINT (-79.1480690620369 43.777400552994)
221,FIRE STATION 221,2575 EGLINTON AVE E,324515.001,4843677.541,43.7347987486,-79.2550659034,Scarborough Southwest (35),Scarborough,2048861.0,POINT (-79.25506590336811 43.7347987485643)
222,FIRE STATION 222,755 WARDEN AVE,322180.852,4842072.337,43.7204080292,-79.2840938337,Scarborough Southwest (35),Scarborough,2449586.0,POINT (-79.28409383366279 43.7204080292081)
223,FIRE STATION 223,116 DORSET RD,326275.035,4842479.439,43.7239653632,-79.2332642694,Scarborough Southwest (36),Scarborough,2172861.0,POINT (-79.2332642694298 43.7239653632118)
224,FIRE STATION 224,1313 WOODBINE AVE,319567.895,4839265.158,43.6951960546,-79.316600231,Beaches-East York (31),East York,2062647.0,POINT (-79.3166002310152 43.6951960545552)
225,FIRE STATION 225,3600 DANFORTH AVE,323445.068,4839355.79,43.6959254713,-79.2684978087,Scarborough Southwest (36),Scarborough,2642292.0,POINT (-79.2684978087262 43.6959254712844)
226,FIRE STATION 226,87 MAIN ST,320984.635,4837794.805,43.681931933,-79.2990684783,Beaches-East York (32),former Toronto,2080935.0,POINT (-79.2990684783269 43.6819319330132)
227,FIRE STATION 227,1904 QUEEN ST E,320506.38,4836376.01,43.6691715946,-79.3050414066,Beaches-East York (32),former Toronto,2309211.0,POINT (-79.3050414066349 43.6691715945943)
231,FIRE STATION 231,740 MARKHAM RD,326701.29,4847000.985,43.7646526207,-79.2277908588,Scarborough Centre (38),Scarborough,2175731.0,POINT (-79.2277908587604 43.7646526207228)
232,FIRE STATION 232,1550 MIDLAND AVE,323559.154,4845916.35,43.7549755504,-79.2668542752,Scarborough Centre (37),Scarborough,1657015.0,POINT (-79.266854275204 43.7549755503823)
233,FIRE STATION 233,59 CURLEW DR,319723.203,4844699.827,43.7441120818,-79.3145233619,Don Valley East (34),North York,2949111.0,POINT (-79.314523361863 43.7441120818081)
234,FIRE STATION 234,40 CORONATION DR,329622.628,4846613.849,43.7610767724,-79.1915252089,Scarborough East (43),Scarborough,2004920.0,POINT (-79.19152520892059 43.761076772376)
235,FIRE STATION 235,200 BERMONDSEY RD,319694.733,4842494.56,43.724253416,-79.314934419,Don Valley East (34),North York,3217085.0,POINT (-79.314934419 43.724253416)
241,FIRE STATION 241,3325 WARDEN AVE,318959.194,4852468.168,43.8140505938,-79.3238057728,Scarborough-Agincourt (39),Scarborough,3174616.0,POINT (-79.32380577281749 43.8140505937608)
242,FIRE STATION 242,2733 BRIMLEY RD,322705.904,4851685.836,43.806919641,-79.277256278,Scarborough-Rouge River (41),Scarborough,3799489.0,POINT (-79.277256278 43.806919641)
243,FIRE STATION 243,4560 SHEPPARD AVE E,323861.695,4849713.376,43.7891455271,-79.2629634069,Scarborough-Rouge River (41),Scarborough,2236216.0,POINT (-79.262963406935 43.7891455271453)
