latitudes,longitudes,formatted_address,postal_code,json_responses,SHELTER_ADDRESS,SHELTER_CITY
43.6576775,-79.40704660000002,"100 Lippincott St, Toronto, ON M5S 2P1, Canada",M5S 2P1,"{'results': [{'address_components': [{'long_name': '100', 'short_name': '100', 'types': ['street_number']}, {'long_name': 'Lippincott Street', 'short_name': 'Lippincott St', 'types': ['route']}, {'long_name': 'Old Toronto', 'short_name': 'Old Toronto', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Toronto', 'short_name': 'Toronto', 'types': ['locality', 'political']}, {'long_name': 'Toronto Division', 'short_name': 'Toronto Division', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ontario', 'short_name': 'ON', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}, {'long_name': 'M5S 2P1', 'short_name': 'M5S 2P1', 'types': ['postal_code']}], 'formatted_address': '100 Lippincott St, Toronto, ON M5S 2P1, Canada', 'geometry': {'location': {'lat': 43.6576775, 'lng': -79.40704660000002}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.65902648029149, 'lng': -79.40569761970852}, 'southwest': {'lat': 43.6563285197085, 'lng': -79.40839558029153}}}, 'place_id': 'ChIJBbUavus0K4gRZkzbqpYsRIk', 'plus_code': {'compound_code': 'MH5V+35 Toronto, ON, Canada', 'global_code': '87M2MH5V+35'}, 'types': ['street_address']}], 'status': 'OK'}",100 Lippincott Street,Toronto
43.6545576,-79.3665754,"101 Ontario St, Toronto, ON M5A 2V2, Canada",M5A 2V2,"{'results': [{'address_components': [{'long_name': '101', 'short_name': '101', 'types': ['street_number']}, {'long_name': 'Ontario Street', 'short_name': 'Ontario St', 'types': ['route']}, {'long_name': 'Old Toronto', 'short_name': 'Old Toronto', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Toronto', 'short_name': 'Toronto', 'types': ['locality', 'political']}, {'long_name': 'Toronto Division', 'short_name': 'Toronto Division', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ontario', 'short_name': 'ON', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}, {'long_name': 'M5A 2V2', 'short_name': 'M5A 2V2', 'types': ['postal_code']}], 'formatted_address': '101 Ontario St, Toronto, ON M5A 2V2, Canada', 'geometry': {'bounds': {'northeast': {'lat': 43.6546428, 'lng': -79.3664215}, 'southwest': {'lat': 43.6543741, 'lng': -79.36682739999999}}, 'location': {'lat': 43.6545576, 'lng': -79.3665754}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.6558574302915, 'lng': -79.3652754697085}, 'southwest': {'lat': 43.6531594697085, 'lng': -79.3679734302915}}}, 'place_id': 'ChIJgX5WqTnL1IkRHojwQ-U4Wgk', 'types': ['premise']}], 'status': 'OK'}",101 Ontario Street,Toronto
43.6523669,-79.3722725,"107 Jarvis St, Toronto, ON M5C 2H4, Canada",M5C 2H4,"{'results': [{'address_components': [{'long_name': '107', 'short_name': '107', 'types': ['street_number']}, {'long_name': 'Jarvis Street', 'short_name': 'Jarvis St', 'types': ['route']}, {'long_name': 'Old Toronto', 'short_name': 'Old Toronto', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Toronto', 'short_name': 'Toronto', 'types': ['locality', 'political']}, {'long_name': 'Toronto Division', 'short_name': 'Toronto Division', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ontario', 'short_name': 'ON', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}, {'long_name': 'M5C 2H4', 'short_name': 'M5C 2H4', 'types': ['postal_code']}], 'formatted_address': '107 Jarvis St, Toronto, ON M5C 2H4, Canada', 'geometry': {'location': {'lat': 43.6523669, 'lng': -79.3722725}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.6537158802915, 'lng': -79.37092351970848}, 'southwest': {'lat': 43.6510179197085, 'lng': -79.37362148029149}}}, 'place_id': 'ChIJuV08JTHL1IkRU5QJXJpYKSI', 'plus_code': {'compound_code': 'MJ2H+W3 Toronto, ON, Canada', 'global_code': '87M2MJ2H+W3'}, 'types': ['street_address']}], 'status': 'OK'}",107 Jarvis Street,Toronto
43.6909102,-79.34966279999999,"1076 Pape Ave, East York, ON M4K 3W5, Canada",M4K 3W5,"{'results': [{'address_components': [{'long_name': '1076', 'short_name': '1076', 'types': ['street_number']}, {'long_name': 'Pape Avenue', 'short_name': 'Pape Ave', 'types': ['route']}, {'long_name': 'East York', 'short_name': 'East York', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Toronto', 'short_name': 'Toronto', 'types': ['locality', 'political']}, {'long_name': 'Toronto Division', 'short_name': 'Toronto Division', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ontario', 'short_name': 'ON', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}, {'long_name': 'M4K 3W5', 'short_name': 'M4K 3W5', 'types': ['postal_code']}], 'formatted_address': '1076 Pape Ave, East York, ON M4K 3W5, Canada', 'geometry': {'bounds': {'northeast': {'lat': 43.69103399999999, 'lng': -79.3494791}, 'southwest': {'lat': 43.6907547, 'lng': -79.3499315}}, 'location': {'lat': 43.6909102, 'lng': -79.34966279999999}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.6922433302915, 'lng': -79.34835631970849}, 'southwest': {'lat': 43.6895453697085, 'lng': -79.3510542802915}}}, 'place_id': 'ChIJQxnwq5PM1IkRhtOpZ9kWHX8', 'types': ['premise']}], 'status': 'OK'}",1076 Pape Avenue,Toronto
43.7156529,-79.4666091,"1161 Caledonia Rd, North York, ON M6A 1J8, Canada",M6A 1J8,"{'results': [{'address_components': [{'long_name': '1161', 'short_name': '1161', 'types': ['street_number']}, {'long_name': 'Caledonia Road', 'short_name': 'Caledonia Rd', 'types': ['route']}, {'long_name': 'North York', 'short_name': 'North York', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Toronto', 'short_name': 'Toronto', 'types': ['locality', 'political']}, {'long_name': 'Toronto Division', 'short_name': 'Toronto Division', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ontario', 'short_name': 'ON', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}, {'long_name': 'M6A 1J8', 'short_name': 'M6A 1J8', 'types': ['postal_code']}], 'formatted_address': '1161 Caledonia Rd, North York, ON M6A 1J8, Canada', 'geometry': {'bounds': {'northeast': {'lat': 43.7159591, 'lng': -79.46590379999999}, 'southwest': {'lat': 43.71540780000001, 'lng': -79.46727609999999}}, 'location': {'lat': 43.7156529, 'lng': -79.4666091}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.71703243029151, 'lng': -79.46524096970849}, 'southwest': {'lat': 43.71433446970851, 'lng': -79.4679389302915}}}, 'place_id': 'ChIJgQeVENczK4gRhI26jpFC0o8', 'types': ['premise']}], 'status': 'OK'}",1161 Caledonia Road,Toronto
43.76828219999999,-79.2674466,"1229 Ellesmere Rd, Scarborough, ON M1P 4V8, Canada",M1P 4V8,"{'results': [{'address_components': [{'long_name': '1229', 'short_name': '1229', 'types': ['street_number']}, {'long_name': 'Ellesmere Road', 'short_name': 'Ellesmere Rd', 'types': ['route']}, {'long_name': 'Scarborough', 'short_name': 'Scarborough', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Toronto', 'short_name': 'Toronto', 'types': ['locality', 'political']}, {'long_name': 'Toronto Division', 'short_name': 'Toronto Division', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ontario', 'short_name': 'ON', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}, {'long_name': 'M1P 4V8', 'short_name': 'M1P 4V8', 'types': ['postal_code']}], 'formatted_address': '1229 Ellesmere Rd, Scarborough, ON M1P 4V8, Canada', 'geometry': {'bounds': {'northeast': {'lat': 43.76842, 'lng': -79.267248}, 'southwest': {'lat': 43.768164, 'lng': -79.2675769}}, 'location': {'lat': 43.76828219999999, 'lng': -79.2674466}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.7696409802915, 'lng': -79.26606346970848}, 'southwest': {'lat': 43.76694301970851, 'lng': -79.26876143029149}}}, 'place_id': 'ChIJa_Tshr3R1IkRBf946b_FJ6Q', 'types': ['premise']}], 'status': 'OK'}",1229 Ellesmere Road,Toronto
43.6628189,-79.3385026,"126 Pape Ave, Toronto, ON M4M 2V8, Canada",M4M 2V8,"{'results': [{'address_components': [{'long_name': '126', 'short_name': '126', 'types': ['street_number']}, {'long_name': 'Pape Avenue', 'short_name': 'Pape Ave', 'types': ['route']}, {'long_name': 'Old Toronto', 'short_name': 'Old Toronto', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Toronto', 'short_name': 'Toronto', 'types': ['locality', 'political']}, {'long_name': 'Toronto Division', 'short_name': 'Toronto Division', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ontario', 'short_name': 'ON', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}, {'long_name': 'M4M 2V8', 'short_name': 'M4M 2V8', 'types': ['postal_code']}], 'formatted_address': '126 Pape Ave, Toronto, ON M4M 2V8, Canada', 'geometry': {'bounds': {'northeast': {'lat': 43.6629398, 'lng': -79.33834}, 'southwest': {'lat': 43.662701, 'lng': -79.33875599999999}}, 'location': {'lat': 43.6628189, 'lng': -79.3385026}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.6641693802915, 'lng': -79.33719901970849}, 'southwest': {'lat': 43.6614714197085, 'lng': -79.3398969802915}}}, 'place_id': 'ChIJX0a3DHfL1IkRIZmoQiv8qJc', 'types': ['premise']}], 'status': 'OK'}",126 Pape Avenue,Toronto
43.6486966,-79.3932737,"129 Peter St, Toronto, ON M5V 1X1, Canada",M5V 1X1,"{'results': [{'address_components': [{'long_name': '129', 'short_name': '129', 'types': ['street_number']}, {'long_name': 'Peter Street', 'short_name': 'Peter St', 'types': ['route']}, {'long_name': 'Old Toronto', 'short_name': 'Old Toronto', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Toronto', 'short_name': 'Toronto', 'types': ['locality', 'political']}, {'long_name': 'Toronto Division', 'short_name': 'Toronto Division', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ontario', 'short_name': 'ON', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}, {'long_name': 'M5V 1X1', 'short_name': 'M5V 1X1', 'types': ['postal_code']}], 'formatted_address': '129 Peter St, Toronto, ON M5V 1X1, Canada', 'geometry': {'location': {'lat': 43.6486966, 'lng': -79.3932737}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.6500455802915, 'lng': -79.3919247197085}, 'southwest': {'lat': 43.6473476197085, 'lng': -79.3946226802915}}}, 'place_id': 'ChIJr1Bz7No0K4gR6azQi8W1YKo', 'plus_code': {'compound_code': 'JJX4+FM Toronto, ON, Canada', 'global_code': '87M2JJX4+FM'}, 'types': ['street_address']}], 'status': 'OK'}",129 Peter St,Toronto
43.6583716,-79.44323419999999,"1322 Bloor St W, Toronto, ON M6H 1P2, Canada",M6H 1P2,"{'results': [{'address_components': [{'long_name': '1322', 'short_name': '1322', 'types': ['street_number']}, {'long_name': 'Bloor Street West', 'short_name': 'Bloor St W', 'types': ['route']}, {'long_name': 'Old Toronto', 'short_name': 'Old Toronto', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Toronto', 'short_name': 'Toronto', 'types': ['locality', 'political']}, {'long_name': 'Toronto Division', 'short_name': 'Toronto Division', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ontario', 'short_name': 'ON', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}, {'long_name': 'M6H 1P2', 'short_name': 'M6H 1P2', 'types': ['postal_code']}], 'formatted_address': '1322 Bloor St W, Toronto, ON M6H 1P2, Canada', 'geometry': {'location': {'lat': 43.6583716, 'lng': -79.44323419999999}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.6597205802915, 'lng': -79.44188521970848}, 'southwest': {'lat': 43.6570226197085, 'lng': -79.4445831802915}}}, 'place_id': 'ChIJk08WlkY0K4gRtihakpL_Dkc', 'plus_code': {'compound_code': 'MH54+8P Toronto, ON, Canada', 'global_code': '87M2MH54+8P'}, 'types': ['street_address']}], 'status': 'OK'}",1322 Bloor Street West,Toronto
43.681428,-79.4183468,"14 Vaughan Rd, Toronto, ON M6G 2N1, Canada",M6G 2N1,"{'results': [{'address_components': [{'long_name': '14', 'short_name': '14', 'types': ['street_number']}, {'long_name': 'Vaughan Road', 'short_name': 'Vaughan Rd', 'types': ['route']}, {'long_name': 'Old Toronto', 'short_name': 'Old Toronto', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Toronto', 'short_name': 'Toronto', 'types': ['locality', 'political']}, {'long_name': 'Toronto Division', 'short_name': 'Toronto Division', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ontario', 'short_name': 'ON', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}, {'long_name': 'M6G 2N1', 'short_name': 'M6G 2N1', 'types': ['postal_code']}], 'formatted_address': '14 Vaughan Rd, Toronto, ON M6G 2N1, Canada', 'geometry': {'bounds': {'northeast': {'lat': 43.68149589999999, 'lng': -79.4181306}, 'southwest': {'lat': 43.6813535, 'lng': -79.4185676}}, 'location': {'lat': 43.681428, 'lng': -79.4183468}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.6827736802915, 'lng': -79.4170001197085}, 'southwest': {'lat': 43.6800757197085, 'lng': -79.41969808029151}}}, 'place_id': 'ChIJ3aMu830zK4gRu0iNsEBNeo0', 'types': ['premise']}], 'status': 'OK'}",14 Vaughan Road,Toronto
43.74060470000001,-79.49417989999999,"1651 Sheppard Ave W, North York, ON M3M 2X4, Canada",M3M 2X4,"{'results': [{'address_components': [{'long_name': '1651', 'short_name': '1651', 'types': ['street_number']}, {'long_name': 'Sheppard Avenue West', 'short_name': 'Sheppard Ave W', 'types': ['route']}, {'long_name': 'North York', 'short_name': 'North York', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Toronto', 'short_name': 'Toronto', 'types': ['locality', 'political']}, {'long_name': 'Toronto Division', 'short_name': 'Toronto Division', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ontario', 'short_name': 'ON', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}, {'long_name': 'M3M 2X4', 'short_name': 'M3M 2X4', 'types': ['postal_code']}], 'formatted_address': '1651 Sheppard Ave W, North York, ON M3M 2X4, Canada', 'geometry': {'location': {'lat': 43.74060470000001, 'lng': -79.49417989999999}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.74195368029151, 'lng': -79.4928309197085}, 'southwest': {'lat': 43.73925571970851, 'lng': -79.4955288802915}}}, 'place_id': 'ChIJFYId_b4xK4gRZhBFFRO6OhQ', 'plus_code': {'compound_code': 'PGR4+68 North York, Toronto, ON, Canada', 'global_code': '87M2PGR4+68'}, 'types': ['street_address']}], 'status': 'OK'}",1651 Sheppard Ave West,Toronto
43.6589731,-79.39355069999999,"167 College St, Toronto, ON M5T 1P7, Canada",M5T 1P7,"{'results': [{'address_components': [{'long_name': '167', 'short_name': '167', 'types': ['street_number']}, {'long_name': 'College Street', 'short_name': 'College St', 'types': ['route']}, {'long_name': 'Old Toronto', 'short_name': 'Old Toronto', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Toronto', 'short_name': 'Toronto', 'types': ['locality', 'political']}, {'long_name': 'Toronto Division', 'short_name': 'Toronto Division', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ontario', 'short_name': 'ON', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}, {'long_name': 'M5T 1P7', 'short_name': 'M5T 1P7', 'types': ['postal_code']}], 'formatted_address': '167 College St, Toronto, ON M5T 1P7, Canada', 'geometry': {'bounds': {'northeast': {'lat': 43.6590736, 'lng': -79.3934128}, 'southwest': {'lat': 43.6586976, 'lng': -79.3937143}}, 'location': {'lat': 43.6589731, 'lng': -79.39355069999999}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.6602345802915, 'lng': -79.3922145697085}, 'southwest': {'lat': 43.6575366197085, 'lng': -79.3949125302915}}}, 'place_id': 'ChIJ77_bkMc0K4gRE8qbH1pijjw', 'types': ['premise']}], 'status': 'OK'}",167 College Street,Toronto
43.6915695,-79.2639232,"1673 Kingston Rd, Scarborough, ON M1N 1S6, Canada",M1N 1S6,"{'results': [{'address_components': [{'long_name': '1673', 'short_name': '1673', 'types': ['street_number']}, {'long_name': 'Kingston Road', 'short_name': 'Kingston Rd', 'types': ['route']}, {'long_name': 'Scarborough', 'short_name': 'Scarborough', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Toronto', 'short_name': 'Toronto', 'types': ['locality', 'political']}, {'long_name': 'Toronto Division', 'short_name': 'Toronto Division', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ontario', 'short_name': 'ON', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}, {'long_name': 'M1N 1S6', 'short_name': 'M1N 1S6', 'types': ['postal_code']}], 'formatted_address': '1673 Kingston Rd, Scarborough, ON M1N 1S6, Canada', 'geometry': {'bounds': {'northeast': {'lat': 43.6917345, 'lng': -79.2637606}, 'southwest': {'lat': 43.6913068, 'lng': -79.2641289}}, 'location': {'lat': 43.6915695, 'lng': -79.2639232}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.6928696302915, 'lng': -79.2625957697085}, 'southwest': {'lat': 43.6901716697085, 'lng': -79.2652937302915}}}, 'place_id': 'ChIJwYxMQuzO1IkRGtdBV92X6Xg', 'types': ['premise']}], 'status': 'OK'}",1673 Kingston Road,Toronto
43.6808902,-79.45666279999999,"177 Caledonia Rd, Toronto, ON M6E 4S8, Canada",M6E 4S8,"{'results': [{'address_components': [{'long_name': '177', 'short_name': '177', 'types': ['street_number']}, {'long_name': 'Caledonia Road', 'short_name': 'Caledonia Rd', 'types': ['route']}, {'long_name': 'York', 'short_name': 'York', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Toronto', 'short_name': 'Toronto', 'types': ['locality', 'political']}, {'long_name': 'Toronto Division', 'short_name': 'Toronto Division', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ontario', 'short_name': 'ON', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}, {'long_name': 'M6E 4S8', 'short_name': 'M6E 4S8', 'types': ['postal_code']}], 'formatted_address': '177 Caledonia Rd, Toronto, ON M6E 4S8, Canada', 'geometry': {'location': {'lat': 43.6808902, 'lng': -79.45666279999999}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.6822391802915, 'lng': -79.4553138197085}, 'southwest': {'lat': 43.6795412197085, 'lng': -79.4580117802915}}}, 'place_id': 'ChIJ4zF53gg0K4gR7Le8TYL1OXU', 'plus_code': {'compound_code': 'MGJV+98 Toronto, ON, Canada', 'global_code': '87M2MGJV+98'}, 'types': ['street_address']}], 'status': 'OK'}",177 Caledonia Rd,Toronto
43.673617,-79.406284,"191 Spadina Rd, Toronto, ON M5R 2T9, Canada",M5R 2T9,"{'results': [{'address_components': [{'long_name': '191', 'short_name': '191', 'types': ['street_number']}, {'long_name': 'Spadina Road', 'short_name': 'Spadina Rd', 'types': ['route']}, {'long_name': 'Old Toronto', 'short_name': 'Old Toronto', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Toronto', 'short_name': 'Toronto', 'types': ['locality', 'political']}, {'long_name': 'Toronto Division', 'short_name': 'Toronto Division', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ontario', 'short_name': 'ON', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Canada', 'short_name': 'CA', 'types': ['country', 'political']}, {'long_name': 'M5R 2T9', 'short_name': 'M5R 2T9', 'types': ['postal_code']}], 'formatted_address': '191 Spadina Rd, Toronto, ON M5R 2T9, Canada', 'geometry': {'location': {'lat': 43.673617, 'lng': -79.406284}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.6749659802915, 'lng': -79.40493501970849}, 'southwest': {'lat': 43.6722680197085, 'lng': -79.40763298029151}}}, 'place_id': 'ChIJGyk9Gpk0K4gRcJ2cB_W8mgU', 'plus_code': {'compound_code': 'MHFV+CF Toronto, ON, Canada', 'global_code': '87M2MHFV+CF'}, 'types': ['street_address']}], 'status': 'OK'}",191 Spadina Road,Toronto
