Datetime,MAX_TEMP,MIN_TEMP,MEAN_TEMP,HDD,CDD,RAIN_MM,PRECIP_MM,SNOW_CM
2010-01-01,1.9,-9.9,-3.0,21.0,0.0,0.0,0.63,0.0
2010-01-02,-9.7,-18.5,-14.05,32.05,0.0,0.0,0.33,1.0
2010-01-03,-9.3,-17.0,-12.9,30.9,0.0,0.0,1.9,1.0
2010-01-04,-6.7,-13.5,-9.85,27.85,0.0,0.0,0.27,3.5
2010-01-05,-3.6,-12.5,-7.65,25.65,0.0,0.0,1.3,4.5
2010-01-06,-1.9,-10.5,-6.1,24.1,0.0,0.0,0.0,4.5
2010-01-07,-2.6,-6.5,-4.55,22.55,0.0,0.0,0.47,3.5
2010-01-08,-6.0,-11.4,-9.1,27.1,0.0,0.0,0.53,4.0
2010-01-09,-8.6,-15.5,-11.8,29.8,0.0,0.0,0.0,4.0
2010-01-10,-1.7,-17.5,-8.45,26.45,0.0,0.0,0.0,4.0
2010-01-11,-3.3,-8.5,-5.7,23.7,0.0,0.0,0.2,3.5
2010-01-12,-3.5,-9.0,-6.05,24.05,0.0,0.0,0.0,4.0
2010-01-13,1.0,-9.0,-3.1,21.1,0.0,0.0,0.0,4.0
2010-01-14,4.6,-10.0,-1.0,19.0,0.0,0.0,0.0,4.0
2010-01-15,4.7,1.5,3.15,14.85,0.0,0.0,0.0,2.0
2010-01-16,2.9,-1.0,0.85,17.15,0.0,0.0,0.0,1.0
2010-01-17,3.0,-2.5,0.8,17.2,0.0,0.0,0.0,0.0
2010-01-18,2.3,-2.0,0.2,17.8,0.0,0.0,0.0,0.0
2010-01-19,3.0,-5.0,-0.4,18.4,0.0,0.0,0.13,0.0
2010-01-20,-1.0,-6.0,-3.5,21.5,0.0,0.0,0.0,0.0
2010-01-21,0.9,-9.5,-3.65,21.65,0.0,0.0,0.0,0.0
2010-01-22,3.5,-5.0,-0.05,18.05,0.0,0.0,0.0,0.0
2010-01-23,2.6,-6.5,-1.55,19.55,0.0,0.0,0.0,0.0
2010-01-24,6.0,-2.0,2.85,15.15,0.0,7.4,7.4,0.0
2010-01-25,7.9,1.2,4.45,13.55,0.0,1.7,4.9,0.0
2010-01-26,1.5,-0.7,0.35,17.65,0.0,0.0,0.07,0.0
2010-01-27,-0.6,-4.5,-2.9,20.9,0.0,0.0,0.0,0.0
2010-01-28,-3.0,-13.7,-7.45,25.45,0.0,0.0,0.3,0.0
2010-01-29,-9.6,-17.0,-13.4,31.4,0.0,0.0,0.0,0.0
2010-01-30,-7.5,-20.0,-13.6,31.6,0.0,0.0,0.0,0.0
2010-01-31,-3.9,-14.0,-8.3,26.3,0.0,0.0,0.0,0.0
2010-02-01,-2.2,-11.0,-6.25,24.25,0.0,0.0,0.0,0.0
2010-02-02,-0.5,-12.0,-4.87,22.87,0.0,0.0,1.7,0.0
2010-02-03,2.0,-6.5,-1.87,19.87,0.0,0.0,0.1,2.5
2010-02-04,1.6,-12.5,-4.03,22.03,0.0,0.0,0.0,1.0
2010-02-05,0.9,-6.5,-2.83,20.83,0.0,0.0,0.0,0.5
2010-02-06,-4.1,-13.0,-8.2,26.2,0.0,0.0,0.0,0.0
2010-02-07,-1.2,-13.0,-6.7,24.7,0.0,0.0,0.0,0.0
2010-02-08,1.6,-11.5,-4.6,22.6,0.0,0.0,0.0,0.0
2010-02-09,-2.8,-9.5,-5.47,23.47,0.0,0.0,1.37,0.0
2010-02-10,-1.4,-7.5,-4.47,22.47,0.0,0.0,1.3,2.5
2010-02-11,0.4,-9.5,-4.33,22.33,0.0,0.0,0.0,2.5
2010-02-12,0.8,-13.0,-4.47,22.47,0.0,0.0,0.0,2.0
2010-02-13,-0.4,-11.5,-5.1,23.1,0.0,0.0,0.07,1.0
2010-02-14,0.3,-5.5,-2.13,20.13,0.0,0.0,0.0,1.5
2010-02-15,-0.4,-3.0,-1.83,19.83,0.0,0.0,0.0,0.0
2010-02-16,2.0,-4.5,-1.2,19.2,0.0,0.0,0.0,1.5
2010-02-17,1.3,-4.5,-1.1,19.1,0.0,0.0,1.53,1.5
2010-02-18,2.0,-3.0,-0.13,18.13,0.0,0.0,0.0,2.5
2010-02-19,4.8,-2.0,1.6,16.4,0.0,0.0,0.0,2.0
2010-02-20,5.1,-4.5,1.07,16.93,0.0,0.0,0.0,1.5
2010-02-21,5.3,-6.0,0.03,17.97,0.0,0.0,0.0,0.0
2010-02-22,1.3,-6.0,-1.6,19.6,0.0,0.0,6.1,0.0
2010-02-23,2.5,-3.0,0.23,17.77,0.0,0.0,0.8,2.5
2010-02-24,1.0,-6.5,-1.5,19.5,0.0,0.0,0.2,2.5
2010-02-25,-1.3,-7.0,-4.8,22.8,0.0,0.0,3.73,3.0
2010-02-26,3.1,-8.5,-2.47,20.47,0.0,0.0,5.23,5.5
2010-02-27,3.6,-2.0,1.63,16.37,0.0,0.0,3.83,7.0
2010-02-28,5.4,-0.5,2.87,15.13,0.0,0.0,0.0,6.0
2010-03-01,4.3,-1.0,1.8,16.2,0.0,0.0,0.0,4.0
2010-03-02,5.5,-3.5,0.97,17.03,0.0,0.0,0.0,3.0
2010-03-03,5.8,-3.5,1.97,16.03,0.0,0.0,0.0,3.0
2010-03-04,4.7,-4.0,0.97,17.03,0.0,0.0,0.0,2.5
2010-03-05,6.0,-5.0,1.0,17.0,0.0,0.0,0.0,2.0
2010-03-06,9.0,-4.0,3.23,14.77,0.0,0.0,0.0,0.0
2010-03-07,12.0,-3.0,5.53,12.47,0.0,0.0,0.0,0.0
2010-03-08,15.5,-2.0,7.5,10.5,0.0,0.0,0.0,0.0
2010-03-09,14.5,-3.5,6.13,11.87,0.0,0.0,0.0,0.0
2010-03-10,9.0,-2.5,4.37,13.63,0.0,0.0,0.0,0.0
2010-03-11,12.5,4.0,8.2,9.8,0.0,0.0,0.0,0.0
2010-03-12,7.5,4.6,6.07,11.93,0.0,6.3,15.73,0.0
2010-03-13,7.2,4.0,5.53,12.47,0.0,12.1,22.83,0.0
2010-03-14,7.0,2.0,4.67,13.33,0.0,0.5,2.6,0.0
2010-03-15,13.5,2.5,7.83,10.17,0.0,0.1,0.07,0.0
2010-03-16,17.0,-1.0,8.27,9.73,0.0,0.0,0.0,0.0
2010-03-17,18.0,2.0,9.77,8.23,0.0,0.0,0.0,0.0
2010-03-18,19.6,2.5,11.57,6.43,0.0,0.0,0.0,0.0
2010-03-19,21.0,1.0,9.97,8.03,0.0,0.0,0.0,0.0
2010-03-20,7.2,0.7,3.67,14.33,0.0,0.0,0.0,0.0
2010-03-21,5.5,-1.5,2.3,15.7,0.0,0.0,0.0,0.0
2010-03-22,8.6,-2.0,4.4,13.6,0.0,4.2,4.57,0.0
2010-03-23,5.5,2.0,3.7,14.3,0.0,2.5,5.83,0.0
2010-03-24,15.0,-3.0,6.75,11.25,0.0,0.0,0.0,0.0
2010-03-25,10.1,-1.6,3.9,14.1,0.0,0.0,0.0,0.0
2010-03-26,1.0,-7.5,-3.03,21.03,0.0,0.0,0.0,0.0
2010-03-27,5.0,-9.0,-0.73,18.73,0.0,0.0,0.0,0.0
2010-03-28,8.0,-0.5,4.5,13.5,0.0,4.25,5.97,0.0
2010-03-29,10.0,3.0,6.33,11.67,0.0,0.0,0.47,0.0
2010-03-30,12.5,-3.5,5.63,12.37,0.0,0.0,0.0,0.0
2010-03-31,16.5,-2.5,8.0,10.0,0.0,0.0,0.0,0.0
2010-04-01,22.5,3.0,11.53,6.47,0.0,0.0,0.0,0.0
2010-04-02,26.0,5.5,14.83,3.17,0.0,0.0,0.0,0.0
2010-04-03,24.5,8.0,15.43,2.57,0.0,0.0,0.0,0.0
2010-04-04,18.5,5.9,12.57,5.43,0.0,0.2,0.13,0.0
2010-04-05,23.8,7.0,16.23,1.77,0.0,2.1,1.4,0.0
2010-04-06,14.4,7.6,10.87,7.13,0.0,0.8,4.9,0.0
2010-04-07,17.2,5.0,11.73,6.27,0.0,8.4,16.1,0.0
2010-04-08,11.1,4.7,8.1,9.9,0.0,3.6,8.43,0.0
2010-04-09,5.0,1.0,3.27,14.73,0.0,0.0,0.0,0.0
2010-04-10,13.1,0.5,7.17,10.83,0.0,0.0,0.0,0.0
2010-04-11,17.5,4.0,11.07,6.93,0.0,0.0,0.0,0.0
2010-04-12,14.0,2.5,9.0,9.0,0.0,0.0,0.0,0.0
2010-04-13,16.0,3.5,9.9,8.1,0.0,0.0,0.0,0.0
2010-04-14,17.0,-0.5,9.8,8.2,0.0,0.0,0.0,0.0
2010-04-15,21.0,3.0,12.33,5.67,0.0,0.2,0.13,0.0
2010-04-16,22.3,5.9,13.8,4.2,0.0,0.0,0.0,0.0
2010-04-17,8.9,1.0,5.67,12.33,0.0,0.5,0.33,0.0
2010-04-18,15.6,3.0,9.73,8.27,0.0,0.0,0.0,0.0
2010-04-19,18.1,3.5,11.1,6.9,0.0,0.0,0.0,0.0
2010-04-20,19.5,3.5,11.4,6.6,0.0,0.0,0.0,0.0
2010-04-21,19.5,1.5,11.0,7.0,0.0,0.4,0.27,0.0
2010-04-22,13.1,2.0,7.97,10.03,0.0,0.0,0.0,0.0
2010-04-23,16.0,-0.5,7.7,10.3,0.0,0.0,0.0,0.0
2010-04-24,18.0,1.0,10.7,7.3,0.0,0.0,0.0,0.0
2010-04-25,13.1,7.6,10.33,7.67,0.0,0.0,0.37,0.0
2010-04-26,20.0,7.1,12.67,5.33,0.0,0.0,0.0,0.0
2010-04-27,11.5,2.0,7.17,10.83,0.0,0.0,0.0,0.0
2010-04-28,14.5,4.0,9.4,8.6,0.0,0.0,0.0,0.0
2010-04-29,20.5,3.5,12.1,5.9,0.0,0.0,0.0,0.0
2010-04-30,23.5,8.5,14.7,3.3,0.0,0.0,0.0,0.0
2010-05-01,23.0,8.9,15.97,2.03,0.0,1.1,1.27,0.0
2010-05-02,25.0,9.8,17.63,1.33,0.97,1.2,0.9,0.0
2010-05-03,25.4,11.0,19.1,0.13,1.23,0.0,0.4,0.0
2010-05-04,21.9,9.9,17.1,0.97,0.07,0.3,0.2,0.0
2010-05-05,27.0,9.0,16.83,1.33,0.17,2.3,6.0,0.0
2010-05-06,15.8,8.4,12.43,5.57,0.0,0.0,0.1,0.0
2010-05-07,14.5,5.0,9.55,8.45,0.0,15.4,17.53,0.0
2010-05-08,12.6,2.4,7.67,10.33,0.0,2.0,2.1,0.0
2010-05-09,11.0,0.5,6.1,11.9,0.0,0.0,0.0,0.0
2010-05-10,14.4,0.0,7.75,10.25,0.0,0.0,0.0,0.0
2010-05-11,10.5,0.0,6.8,11.2,0.0,1.5,1.9,0.0
2010-05-12,13.5,5.5,9.0,9.0,0.0,0.1,0.37,0.0
2010-05-13,11.5,2.0,7.33,10.67,0.0,4.4,6.8,0.0
2010-05-14,22.3,6.6,14.5,3.5,0.0,0.0,0.0,0.0
2010-05-15,15.1,6.5,11.67,6.33,0.0,0.0,0.0,0.0
2010-05-16,20.5,5.0,13.5,4.5,0.0,0.0,0.0,0.0
2010-05-17,20.5,4.0,13.33,4.67,0.0,0.0,0.0,0.0
2010-05-18,22.0,10.5,15.97,2.03,0.0,0.0,0.0,0.0
2010-05-19,25.5,6.0,15.93,2.17,0.1,0.0,0.0,0.0
2010-05-20,30.0,9.0,18.9,0.43,1.33,0.0,0.0,0.0
2010-05-21,22.5,10.0,17.3,0.85,0.15,0.0,0.0,0.0
2010-05-22,22.5,12.6,17.8,0.73,0.53,0.2,0.47,0.0
2010-05-23,27.0,13.1,19.27,0.27,1.53,0.0,0.0,0.0
2010-05-24,28.5,11.9,19.97,0.17,2.13,0.0,0.0,0.0
2010-05-25,30.0,13.3,21.87,0.0,3.87,0.0,0.0,0.0
2010-05-26,31.5,15.7,23.5,0.0,5.5,0.0,0.0,0.0
2010-05-27,31.0,18.0,24.27,0.0,6.27,0.0,0.0,0.0
2010-05-28,28.0,16.1,21.43,0.0,3.43,0.0,0.0,0.0
2010-05-29,27.5,15.5,21.97,0.0,3.97,0.0,0.0,0.0
2010-05-30,30.0,11.5,21.47,0.0,3.47,0.0,0.0,0.0
2010-05-31,30.5,16.0,21.4,0.0,3.4,3.3,4.2,0.0
2010-06-01,29.1,16.6,23.27,0.0,5.27,0.0,4.07,0.0
2010-06-02,27.0,12.0,20.33,0.0,2.33,16.5,26.77,0.0
2010-06-03,21.0,17.0,18.83,0.0,0.83,3.2,5.27,0.0
2010-06-04,24.5,12.0,19.07,0.0,1.07,1.6,2.7,0.0
2010-06-05,26.7,16.1,21.23,0.0,3.23,10.0,8.33,0.0
2010-06-06,20.5,11.0,15.73,2.27,0.0,0.3,13.2,0.0
2010-06-07,20.5,10.5,15.67,2.33,0.0,0.0,0.0,0.0
2010-06-08,21.3,8.5,15.4,2.6,0.0,0.2,0.13,0.0
2010-06-09,16.1,12.0,13.93,4.07,0.0,3.5,6.43,0.0
2010-06-10,21.6,13.0,17.05,0.95,0.0,0.0,0.0,0.0
2010-06-11,24.5,11.5,18.4,0.0,0.4,0.95,0.63,0.0
2010-06-12,18.6,15.0,16.87,1.13,0.0,2.95,3.9,0.0
2010-06-13,24.0,15.5,19.0,0.13,1.13,0.0,0.0,0.0
2010-06-14,26.4,15.0,20.95,0.0,2.95,0.0,0.0,0.0
2010-06-15,24.0,11.0,18.3,0.25,0.55,2.2,1.47,0.0
2010-06-16,26.6,14.0,20.45,0.0,2.45,7.2,14.63,0.0
2010-06-17,25.0,13.0,19.1,0.0,1.1,0.0,0.0,0.0
2010-06-18,26.5,11.0,19.6,0.0,1.6,0.0,0.0,0.0
2010-06-19,30.0,16.0,23.6,0.0,5.6,0.7,0.67,0.0
2010-06-20,28.2,16.0,22.65,0.0,4.65,0.0,0.0,0.0
2010-06-21,27.0,15.5,21.57,0.0,3.57,0.0,0.0,0.0
2010-06-22,25.0,16.0,21.2,0.0,3.2,8.6,9.07,0.0
2010-06-23,29.5,16.9,22.77,0.0,4.77,12.8,8.53,0.0
2010-06-24,27.8,18.8,22.9,0.0,4.9,0.3,4.63,0.0
2010-06-25,26.2,14.5,20.57,0.0,2.57,0.0,0.0,0.0
2010-06-26,22.0,15.0,19.17,0.0,1.17,6.15,8.83,0.0
2010-06-27,24.5,16.0,20.33,0.0,2.33,20.7,43.87,0.0
2010-06-28,30.8,16.7,23.63,0.0,5.63,0.0,0.3,0.0
2010-06-29,21.4,12.6,17.53,0.57,0.1,0.0,0.0,0.0
2010-06-30,21.3,9.0,15.25,2.75,0.0,0.0,0.0,0.0
2010-07-01,22.8,10.0,16.9,1.1,0.0,0.0,0.0,0.0
2010-07-02,25.5,8.5,18.0,0.5,0.5,0.0,0.0,0.0
2010-07-03,30.5,11.6,20.8,0.0,2.8,0.0,0.0,0.0
2010-07-04,32.0,13.0,22.27,0.0,4.27,0.0,0.0,0.0
2010-07-05,34.5,17.8,25.73,0.0,7.73,0.0,0.0,0.0
2010-07-06,33.5,18.3,26.2,0.0,8.2,0.0,0.0,0.0
2010-07-07,34.0,18.1,26.97,0.0,8.97,0.0,0.0,0.0
2010-07-08,34.1,19.1,27.9,0.0,9.9,1.7,1.13,0.0
2010-07-09,26.5,18.4,22.57,0.0,4.57,7.8,26.87,0.0
2010-07-10,29.1,17.9,23.5,0.0,5.5,0.0,0.0,0.0
2010-07-11,29.0,13.5,21.8,0.0,3.8,4.5,3.0,0.0
2010-07-12,26.5,17.5,22.6,0.0,4.6,0.1,0.07,0.0
2010-07-13,28.5,18.5,24.13,0.0,6.13,0.0,0.0,0.0
2010-07-14,27.5,20.0,23.9,0.0,5.9,0.0,0.0,0.0
2010-07-15,29.5,17.5,24.2,0.0,6.2,0.2,0.13,0.0
2010-07-16,30.7,21.2,26.37,0.0,8.37,0.0,0.1,0.0
2010-07-17,31.5,20.2,25.4,0.0,7.4,0.1,0.07,0.0
2010-07-18,28.5,15.6,21.77,0.0,3.77,2.0,1.33,0.0
2010-07-19,28.5,19.0,23.57,0.0,5.57,0.0,1.03,0.0
2010-07-20,29.5,17.0,22.73,0.0,4.73,0.0,0.0,0.0
2010-07-21,30.9,17.0,24.53,0.0,6.53,0.0,0.0,0.0
2010-07-22,29.0,16.8,23.27,0.0,5.27,22.3,14.87,0.0
2010-07-23,31.5,16.5,24.03,0.0,6.03,0.3,22.97,0.0
2010-07-24,28.0,19.0,23.63,0.0,5.63,10.4,13.77,0.0
2010-07-25,26.8,19.0,22.93,0.0,4.93,0.0,0.0,0.0
2010-07-26,29.5,16.0,23.05,0.0,5.05,0.0,0.0,0.0
2010-07-27,29.5,14.5,22.63,0.0,4.63,0.0,0.0,0.0
2010-07-28,32.0,18.0,24.97,0.0,6.97,0.8,3.63,0.0
2010-07-29,26.2,16.0,21.37,0.0,3.37,0.0,0.0,0.0
2010-07-30,24.1,14.5,19.8,0.0,1.8,0.0,0.0,0.0
2010-07-31,25.5,11.5,19.23,0.0,1.23,0.0,0.0,0.0
2010-08-01,26.0,16.0,21.63,0.0,3.63,0.0,0.0,0.0
2010-08-02,28.0,15.0,22.37,0.0,4.37,0.1,0.07,0.0
2010-08-03,32.0,19.5,25.27,0.0,7.27,0.0,0.0,0.0
2010-08-04,32.0,20.7,26.23,0.0,8.23,0.0,0.0,0.0
2010-08-05,31.7,18.5,25.5,0.0,7.5,0.0,0.0,0.0
2010-08-06,24.7,13.4,19.43,0.0,1.43,0.0,0.0,0.0
2010-08-07,24.5,8.0,17.8,0.57,0.37,0.6,0.4,0.0
2010-08-08,27.5,15.5,21.6,0.0,3.6,0.6,0.6,0.0
